,train,valid
235,4.847939397,12.3240881
236,5.086885694,12.15239906
237,4.825224943,11.96920586
238,4.667483909,11.61808872
239,4.954514895,11.61356544
240,4.663625835,11.44649887
241,4.518744282,11.29180813
242,4.553439018,11.12796688
243,4.74165996,10.58436871
244,4.82828281,10.62400436
245,4.552562486,10.71561623
246,4.391778072,10.59067059
247,4.386646931,10.38820076
248,4.67149598,10.35668659
249,4.562546888,10.05018806
250,4.24211488,10.14439869
251,4.263705567,9.800375938
252,4.293479143,9.973564148
253,4.238216273,9.888339043
254,4.175953522,9.502846718
255,4.235615099,9.726056099
256,4.293277642,9.654011726
257,4.061218332,9.58669281
258,4.279191399,9.415502548
259,4.035841742,9.394452095
260,3.977610819,9.389555931
261,4.108602333,9.336174011
262,3.973593005,9.255624771
263,4.106728691,9.129906654
264,4.095656479,8.804127693
265,4.010375627,9.129398346
266,3.904361379,8.90466404
267,3.738646938,8.511701584
268,3.940052054,9.03860569
269,3.818556613,8.979206085
270,3.788890234,8.940284729
271,3.701074014,8.934682846
272,3.646852468,8.91962719
273,3.718347997,8.419219971
274,3.634451906,8.444519997
275,3.764534862,8.68384552
276,3.837531861,8.878487587
277,3.779705636,8.771224976
278,3.464627366,8.659036636
279,3.632502932,8.81828022
280,3.528825861,8.800653458
281,3.732692335,8.788234711
282,3.574621682,8.714141846
283,3.646361865,8.707135201
284,3.577748052,8.772665977
285,3.390255881,9.027718544
286,3.575180992,8.915439606
287,3.595685035,9.107885361
288,3.74110653,8.996001244
289,3.567693546,8.911680222
290,3.390184927,9.086177826
291,3.431616374,8.560089111
292,3.676584406,8.936681747
293,3.545306882,9.465228081
294,3.586480224,7.527778149
295,3.640318977,9.69123745
296,3.463942693,9.374261856
297,3.733195101,9.501274109
298,3.402937667,9.051913261
299,3.426965454,9.550449371
300,3.346625357,9.08894825
301,3.394340939,9.54595089
302,3.368361838,9.686739922
303,3.304016295,9.748958588
304,3.465131605,9.804339409
305,3.361654846,10.1636734
306,3.400636318,9.569795609
307,3.522428475,10.41948223
308,3.763648719,9.743350029
309,3.353536454,10.35923672
310,3.356214302,10.59292984
311,3.361219089,8.892148018
312,3.325281717,9.977276802
313,3.338007033,9.753001213
314,3.476202961,10.46974468
315,3.368940796,9.373732567
316,3.349838727,10.93444633
317,3.314059235,9.243889809
318,3.251852482,10.24853897
319,3.160008508,10.87000847
320,3.198175007,10.06322193
321,3.377852902,10.728508
322,3.214355186,10.34885788
323,3.203010655,8.893299103
324,3.26262289,10.08534145
325,3.292502446,10.20105076
326,3.669707481,11.02936459
327,3.467165404,10.78874207
328,3.249463263,10.69333076
329,3.297039835,10.95375443
330,3.148113121,10.11046219
331,3.222989767,10.864501
332,3.432824253,9.587716103
333,3.242522026,8.945195198
334,3.297423616,10.78639603
335,3.293122209,11.28914356
336,3.208124405,11.46843529
337,3.164433344,9.774744987
338,3.126775998,10.92898846
339,3.072595852,11.45248222
340,3.122740303,11.10843563
341,3.171861353,9.331840515
342,3.14420868,11.56131268
343,3.537655495,12.06523418
344,3.123042604,11.0839653
345,3.19982421,10.77799034
346,3.262293785,12.2620573
347,3.325254746,10.8606739
348,3.106054081,10.94012356
349,3.268450926,9.24742794
350,3.121728488,11.37465858
351,3.183582307,11.85094357
352,3.218983339,11.05784035
353,3.192646912,9.579977036
354,3.187580971,11.9334259
355,3.342418982,9.561125755
356,3.172151963,7.347446442
357,3.260599727,11.31627274
358,3.223955702,9.744984627
359,3.45289517,11.27726078
360,3.115169563,11.20787239
361,3.311929815,7.980639458
362,3.392614739,12.09228897
363,3.141031217,7.632537365
364,3.219545669,10.99400616
365,3.19653874,12.3380022
366,3.11949811,12.81681347
367,3.323846388,10.62811089
368,3.157458869,12.69579697
369,3.098830402,9.277116776
370,3.197216394,10.24395657
371,3.154554457,6.341703415
372,3.360156873,10.26410389
373,3.207910883,12.06837845
374,3.237299534,13.45828724
375,3.511684181,12.4381485
376,3.254079695,12.00689411
377,3.258768698,12.04713345
378,3.072387597,12.98421383
379,3.090377734,12.61844349
